level,campaign_second,epoch_second,packet_count,byte_count,pps,Bps
L0,0,1782901295,6,475,6,475
L0,1,1782901296,17,1342,17,1342
L0,2,1782901297,17,1342,17,1342
L0,3,1782901298,16,1270,16,1270
L0,4,1782901299,17,1342,17,1342
L0,5,1782901300,17,1342,17,1342
L0,6,1782901301,17,1342,17,1342
L0,7,1782901302,16,1270,16,1270
L0,8,1782901303,18,1414,18,1414
L0,9,1782901304,18,1414,18,1414
L0,10,1782901305,16,1270,16,1270
L0,11,1782901306,17,1342,17,1342
L0,12,1782901307,17,1342,17,1342
L0,13,1782901308,16,1270,16,1270
L0,14,1782901309,17,1342,17,1342
L0,15,1782901310,17,1342,17,1342
L0,16,1782901311,16,1270,16,1270
L0,17,1782901312,17,1342,17,1342
L0,18,1782901313,18,1414,18,1414
L0,19,1782901314,17,1342,17,1342
L0,20,1782901315,17,1342,17,1342
L0,21,1782901316,17,1342,17,1342
L0,22,1782901317,12,939,12,939
L0,23,1782901318,14,1110,14,1110
L0,24,1782901319,17,1342,17,1342
L0,25,1782901320,18,1414,18,1414
L0,26,1782901321,17,1342,17,1342
L0,27,1782901322,19,1486,19,1486
L0,28,1782901323,17,1342,17,1342
L0,29,1782901324,16,1270,16,1270
L0,30,1782901325,18,1414,18,1414
L0,31,1782901326,17,1342,17,1342
L0,32,1782901327,18,1414,18,1414
L0,33,1782901328,16,1270,16,1270
L0,34,1782901329,18,1414,18,1414
L0,35,1782901330,18,1414,18,1414
L0,36,1782901331,18,1414,18,1414
L0,37,1782901332,17,1342,17,1342
L0,38,1782901333,17,1342,17,1342
L0,39,1782901334,19,1474,19,1474
L0,44,1782901339,16,1270,16,1270
L0,45,1782901340,16,1270,16,1270
L0,46,1782901341,16,1270,16,1270
L0,47,1782901342,17,1342,17,1342
L0,48,1782901343,18,1414,18,1414
L0,49,1782901344,17,1342,17,1342
L0,50,1782901345,9,707,9,707
L0,51,1782901346,17,1342,17,1342
L0,52,1782901347,17,1342,17,1342
L0,53,1782901348,17,1342,17,1342
L0,54,1782901349,16,1270,16,1270
L0,55,1782901350,17,1342,17,1342
L0,56,1782901351,17,1342,17,1342
L0,57,1782901352,17,1342,17,1342
L0,58,1782901353,18,1414,18,1414
L0,59,1782901354,17,1342,17,1342
L0,60,1782901355,17,1342,17,1342
L0,61,1782901356,16,1270,16,1270
L0,62,1782901357,17,1342,17,1342
L0,63,1782901358,18,1414,18,1414
L0,64,1782901359,17,1342,17,1342
L0,65,1782901360,17,1342,17,1342
L0,66,1782901361,17,1342,17,1342
L0,67,1782901362,16,1270,16,1270
L0,68,1782901363,18,1414,18,1414
L0,69,1782901364,17,1342,17,1342
L0,70,1782901365,16,1270,16,1270
L0,71,1782901366,17,1342,17,1342
L0,72,1782901367,16,1270,16,1270
L0,73,1782901368,18,1414,18,1414
L0,74,1782901369,16,1270,16,1270
L0,75,1782901370,17,1342,17,1342
L0,76,1782901371,17,1342,17,1342
L0,77,1782901372,17,1342,17,1342
L0,78,1782901373,17,1342,17,1342
L0,79,1782901374,12,939,12,939
L0,80,1782901375,14,1110,14,1110
L0,81,1782901376,16,1270,16,1270
L0,82,1782901377,17,1342,17,1342
L0,83,1782901378,18,1414,18,1414
L0,86,1782901381,18,1414,18,1414
L0,87,1782901382,17,1342,17,1342
L0,88,1782901383,17,1342,17,1342
