ok,level,attack_id,run_id,service,packet_count,byte_count,first_epoch,last_epoch,source_kind,campaign_relative_path,error
True,L0,bf_ssh,run01,ssh,667,52598,1782901295.625455,1782901334.800374,features,bf_ssh/bf_ssh/L0/run01/ssh-bf_ssh-L0-run01.pcap,
True,L0,bf_ssh,run02,ssh,660,52122,1782901339.391645,1782901378.564972,features,bf_ssh/bf_ssh/L0/run02/ssh-bf_ssh-L0-run02.pcap,
True,L0,bf_ssh,run03,ssh,666,52554,1782901381.18823,1782901420.360866,features,bf_ssh/bf_ssh/L0/run03/ssh-bf_ssh-L0-run03.pcap,
True,L0,bf_ssh,run04,ssh,658,51966,1782901422.927096,1782901462.101836,features,bf_ssh/bf_ssh/L0/run04/ssh-bf_ssh-L0-run04.pcap,
True,L0,bf_ssh,run05,ssh,666,52554,1782901464.670502,1782901503.839149,features,bf_ssh/bf_ssh/L0/run05/ssh-bf_ssh-L0-run05.pcap,
True,L1,bf_ssh,run01,ssh,1276,155873,1782901506.434693,1782901545.493411,features,bf_ssh/bf_ssh/L1/run01/ssh-bf_ssh-L1-run01.pcap,
True,L1,bf_ssh,run02,ssh,1252,150660,1782901548.469831,1782901587.614555,features,bf_ssh/bf_ssh/L1/run02/ssh-bf_ssh-L1-run02.pcap,
True,L1,bf_ssh,run03,ssh,1246,150048,1782901590.564252,1782901629.681224,features,bf_ssh/bf_ssh/L1/run03/ssh-bf_ssh-L1-run03.pcap,
True,L1,bf_ssh,run04,ssh,1163,132888,1782901632.58143,1782901671.682131,features,bf_ssh/bf_ssh/L1/run04/ssh-bf_ssh-L1-run04.pcap,
True,L1,bf_ssh,run05,ssh,1275,156053,1782901674.616404,1782901713.70972,features,bf_ssh/bf_ssh/L1/run05/ssh-bf_ssh-L1-run05.pcap,
True,L2,bf_ssh,run01,ssh,1283,156692,1782901716.632021,1782901755.767092,features,bf_ssh/bf_ssh/L2/run01/ssh-bf_ssh-L2-run01.pcap,
True,L2,bf_ssh,run02,ssh,1250,150495,1782901758.671925,1782901797.80384,features,bf_ssh/bf_ssh/L2/run02/ssh-bf_ssh-L2-run02.pcap,
True,L2,bf_ssh,run03,ssh,1282,156440,1782901800.935805,1782901840.057992,features,bf_ssh/bf_ssh/L2/run03/ssh-bf_ssh-L2-run03.pcap,
True,L2,bf_ssh,run04,ssh,1309,162130,1782901842.963021,1782901882.074241,features,bf_ssh/bf_ssh/L2/run04/ssh-bf_ssh-L2-run04.pcap,
True,L2,bf_ssh,run05,ssh,1253,150711,1782901884.688708,1782901924.211451,features,bf_ssh/bf_ssh/L2/run05/ssh-bf_ssh-L2-run05.pcap,
True,L3,bf_ssh,run01,ssh,1276,156029,1782901927.05199,1782901966.23549,features,bf_ssh/bf_ssh/L3/run01/ssh-bf_ssh-L3-run01.pcap,
True,L3,bf_ssh,run02,ssh,1300,161632,1782901969.038129,1782902008.123604,features,bf_ssh/bf_ssh/L3/run02/ssh-bf_ssh-L3-run02.pcap,
True,L3,bf_ssh,run03,ssh,1251,150630,1782902011.080483,1782902050.198723,features,bf_ssh/bf_ssh/L3/run03/ssh-bf_ssh-L3-run03.pcap,
True,L3,bf_ssh,run04,ssh,1239,149598,1782902053.112684,1782902092.255559,features,bf_ssh/bf_ssh/L3/run04/ssh-bf_ssh-L3-run04.pcap,
True,L3,bf_ssh,run05,ssh,1279,156362,1782902095.315279,1782902134.475751,features,bf_ssh/bf_ssh/L3/run05/ssh-bf_ssh-L3-run05.pcap,
True,L0,bf_telnet,run01,telnet,656,50139,1782902195.54951,1782902234.902979,features,bf_telnet/bf_telnet/L0/run01/telnet-bf_telnet-L0-run01.pcap,
True,L0,bf_telnet,run02,telnet,656,50155,1782902238.676302,1782902277.984521,features,bf_telnet/bf_telnet/L0/run02/telnet-bf_telnet-L0-run02.pcap,
True,L0,bf_telnet,run03,telnet,653,49939,1782902280.505233,1782902319.808898,features,bf_telnet/bf_telnet/L0/run03/telnet-bf_telnet-L0-run03.pcap,
True,L0,bf_telnet,run04,telnet,652,49867,1782902322.271819,1782902361.588905,features,bf_telnet/bf_telnet/L0/run04/telnet-bf_telnet-L0-run04.pcap,
