transport,port,port_label,packet_count,byte_count,packet_fraction,byte_fraction
UDP,7447,UDP/7447,127067695,20818517219,0.18941331432831568,0.14316488399175298
TCP,8080,TCP/8080,109709084,11029519174,0.16353772068001696,0.0758478529676175
UDP,8888,UDP/8888,79294119,5885778879,0.11819968786349566,0.040475353818384005
UDP,8080,UDP/8080,21508114,1032389472,0.032061045552854696,0.007099541117092423
TCP,1883,TCP/1883,1360702,112201990,0.00202832888117761,0.0007715912095475077
TCP,80,TCP/80,1096493,250995452,0.0016344860372874304,0.0017260467875801794
UDP,7400,UDP/7400,398334,212484496,0.0005937761218510754,0.0014612144515327452
UDP,5683,UDP/5683,224838,15814221,0.0003351545077366032,0.00010875131456618192
TCP,7447,TCP/7447,221816,16405792,0.0003306497668903939,0.000112819432996374
TCP,2222,TCP/2222,77655,15650643,0.00011575633699946594,0.00010762642055248962
TCP,8443,TCP/8443,67584,150392780,0.00010074401235943476,0.0010342218264347382
TCP,445,TCP/445,65770,7440922,9.803997533262346e-05,5.116976985995222e-05
TCP,2323,TCP/2323,46863,3596564,6.985627739110132e-05,2.4732869416799316e-05
UDP,67,UDP/67,44591,13118769,6.646952318773016e-05,9.021521668630252e-05
TCP,22,TCP/22,11322,2332548,1.687712636028528e-05,1.6040477826174206e-05
UDP,53,UDP/53,5155,671846,7.684294858441143e-06,4.620153954218235e-06
UDP,161,UDP/161,3967,344796,5.913404016185453e-06,2.3710948681671552e-06
TCP,1,TCP/1,2294,143160,3.419548478227736e-06,9.8448340852797e-07
TCP,139,TCP/139,2048,126840,3.0528488593768108e-06,8.722539503889893e-07
TCP,21,TCP/21,1898,115440,2.8292515308091734e-06,7.938583730124956e-07
TCP,389,TCP/389,1898,115440,2.8292515308091734e-06,7.938583730124956e-07
TCP,636,TCP/636,1898,115440,2.8292515308091734e-06,7.938583730124956e-07
TCP,3995,TCP/3995,1897,114808,2.827760881952056e-06,7.895122322316232e-07
TCP,5357,TCP/5357,1897,114828,2.827760881952056e-06,7.896497683322838e-07
TCP,3493,TCP/3493,1896,114744,2.8262702330949383e-06,7.890721167095096e-07
TCP,4444,TCP/4444,1896,114768,2.8262702330949383e-06,7.892371600303022e-07
TCP,5666,TCP/5666,1896,114768,2.8262702330949383e-06,7.892371600303022e-07
TCP,5901,TCP/5901,1896,114768,2.8262702330949383e-06,7.892371600303022e-07
TCP,6389,TCP/6389,1895,114708,2.8247795842378207e-06,7.888245517283206e-07
TCP,6792,TCP/6792,1893,114564,2.8217982865235855e-06,7.878342918035649e-07
TCP,3324,TCP/3324,1892,114504,2.820307637666468e-06,7.874216835015834e-07
TCP,3333,TCP/3333,1892,114504,2.820307637666468e-06,7.874216835015834e-07
TCP,3914,TCP/3914,1892,114504,2.820307637666468e-06,7.874216835015834e-07
TCP,3031,TCP/3031,1891,114444,2.8188169888093504e-06,7.870090751996019e-07
TCP,3766,TCP/3766,1891,114444,2.8188169888093504e-06,7.870090751996019e-07
TCP,5102,TCP/5102,1891,114440,2.8188169888093504e-06,7.869815679794697e-07
TCP,5560,TCP/5560,1891,114444,2.8188169888093504e-06,7.870090751996019e-07
TCP,5906,TCP/5906,1891,114444,2.8188169888093504e-06,7.870090751996019e-07
TCP,6007,TCP/6007,1891,114444,2.8188169888093504e-06,7.870090751996019e-07
TCP,6059,TCP/6059,1891,114444,2.8188169888093504e-06,7.870090751996019e-07
TCP,3221,TCP/3221,1890,114384,2.817326339952233e-06,7.865964668976203e-07
TCP,3261,TCP/3261,1890,114384,2.817326339952233e-06,7.865964668976203e-07
TCP,3306,TCP/3306,1890,114384,2.817326339952233e-06,7.865964668976203e-07
TCP,3369,TCP/3369,1890,114384,2.817326339952233e-06,7.865964668976203e-07
TCP,3905,TCP/3905,1890,114384,2.817326339952233e-06,7.865964668976203e-07
TCP,4003,TCP/4003,1890,114380,2.817326339952233e-06,7.865689596774881e-07
TCP,4445,TCP/4445,1890,114384,2.817326339952233e-06,7.865964668976203e-07
