port,packet_count,byte_count,packet_fraction,byte_fraction
8080,131217198,12061908646,0.19559876623287165,0.08294739408470991
7447,127289511,20834923011,0.18974396409520605,0.14327770342474935
8888,79294359,5885794239,0.11820004561922136,0.040475459446109315
1883,1361074,112219846,0.0020288834025524575,0.0007717140017781774
80,1096860,251013068,0.0016350331054179926,0.0017261679293776413
7400,399976,212583016,0.0005962237672744625,0.001461891954364599
5683,226481,15912801,0.0003376036438088474,0.0001094292300063376
2222,78029,15668595,0.00011631383967202792,0.0001077498729564425
8443,67584,150392780,0.00010074401235943476,0.0010342218264347382
445,66158,7459546,9.861834708918508e-05,5.129784347688729e-05
2323,47238,3614564,7.04152707125204e-05,2.485665190739378e-05
67,46189,13214649,6.885158006140406e-05,9.087456475286903e-05
22,11689,2350164,1.7424194490847433e-05,1.616161962363599e-05
53,6993,783086,1.0424107457823261e-05,5.385129746092022e-06
161,5805,456036,8.653216615567572e-06,3.1360706600409424e-06
1,2661,160776,3.966616608789889e-06,1.105625205989752e-06
5353,2422,154352,3.610351531938787e-06,1.0614486104575946e-06
139,2415,144456,3.599916989938964e-06,9.933957478507713e-07
5555,2286,133364,3.4076232873707955e-06,9.171182264244495e-07
8000,2286,133308,3.4076232873707955e-06,9.167331253426001e-07
7938,2281,133140,3.4001700430852076e-06,9.155778220970517e-07
8001,2280,132972,3.39867939422809e-06,9.144225188515034e-07
1434,2279,132612,3.3971887453709725e-06,9.119468690396141e-07
3995,2278,133096,3.395698096513855e-06,9.152752426755986e-07
5357,2278,133116,3.395698096513855e-06,9.154127787762591e-07
3493,2277,133032,3.3942074476567373e-06,9.14835127153485e-07
4444,2277,133056,3.3942074476567373e-06,9.150001704742776e-07
6002,2277,132852,3.3942074476567373e-06,9.135973022475403e-07
4000,2277,132840,3.3942074476567373e-06,9.13514780587144e-07
5666,2276,133008,3.3927167987996197e-06,9.146700838326924e-07
5901,2276,133008,3.3927167987996197e-06,9.146700838326924e-07
8010,2276,132804,3.3927167987996197e-06,9.132672156059551e-07
6389,2275,132948,3.391226149942502e-06,9.142574755307108e-07
6346,2275,132732,3.391226149942502e-06,9.127720856435773e-07
5500,2274,132732,3.3897355010853846e-06,9.127720856435773e-07
6792,2273,132804,3.388244852228267e-06,9.132672156059551e-07
3324,2273,132792,3.388244852228267e-06,9.131846939455587e-07
3333,2273,132792,3.388244852228267e-06,9.131846939455587e-07
3914,2273,132792,3.388244852228267e-06,9.131846939455587e-07
3031,2272,132732,3.3867542033711494e-06,9.127720856435773e-07
3766,2272,132732,3.3867542033711494e-06,9.127720856435773e-07
5102,2272,132728,3.3867542033711494e-06,9.127445784234451e-07
5560,2271,132684,3.385263554514032e-06,9.124419990019919e-07
5906,2271,132684,3.385263554514032e-06,9.124419990019919e-07
6007,2271,132684,3.385263554514032e-06,9.124419990019919e-07
6059,2271,132684,3.385263554514032e-06,9.124419990019919e-07
3221,2271,132672,3.385263554514032e-06,9.123594773415957e-07
3261,2271,132672,3.385263554514032e-06,9.123594773415957e-07
3306,2271,132672,3.385263554514032e-06,9.123594773415957e-07
3369,2271,132672,3.385263554514032e-06,9.123594773415957e-07
3905,2271,132672,3.385263554514032e-06,9.123594773415957e-07
4003,2271,132668,3.385263554514032e-06,9.123319701214635e-07
4445,2271,132672,3.385263554514032e-06,9.123594773415957e-07
5566,2270,132624,3.3837729056569143e-06,9.120293907000105e-07
5952,2270,132624,3.3837729056569143e-06,9.120293907000105e-07
6112,2270,132624,3.3837729056569143e-06,9.120293907000105e-07
6788,2270,132624,3.3837729056569143e-06,9.120293907000105e-07
7777,2270,132624,3.3837729056569143e-06,9.120293907000105e-07
3001,2270,132612,3.3837729056569143e-06,9.119468690396141e-07
3372,2270,132612,3.3837729056569143e-06,9.119468690396141e-07
3517,2270,132608,3.3837729056569143e-06,9.11919361819482e-07
5298,2270,132612,3.3837729056569143e-06,9.119468690396141e-07
5405,2270,132612,3.3837729056569143e-06,9.119468690396141e-07
5000,2270,132492,3.3837729056569143e-06,9.11121652435651e-07
8002,2269,132576,3.3822822567997967e-06,9.116993040584252e-07
8021,2269,132576,3.3822822567997967e-06,9.116993040584252e-07
8045,2269,132576,3.3822822567997967e-06,9.116993040584252e-07
5802,2269,132564,3.3822822567997967e-06,9.116167823980289e-07
5961,2269,132564,3.3822822567997967e-06,9.116167823980289e-07
7627,2269,132564,3.3822822567997967e-06,9.116167823980289e-07
7676,2269,132560,3.3822822567997967e-06,9.115892751778968e-07
7920,2269,132564,3.3822822567997967e-06,9.116167823980289e-07
3013,2269,132552,3.3822822567997967e-06,9.115342607376326e-07
3404,2269,132552,3.3822822567997967e-06,9.115342607376326e-07
3527,2269,132552,3.3822822567997967e-06,9.115342607376326e-07
3580,2269,132528,3.3822822567997967e-06,9.1136921741684e-07
3690,2269,132528,3.3822822567997967e-06,9.1136921741684e-07
4129,2269,132552,3.3822822567997967e-06,9.115342607376326e-07
8011,2268,132516,3.380791607942679e-06,9.112866957564436e-07
5730,2268,132504,3.380791607942679e-06,9.112041740960473e-07
6567,2268,132480,3.380791607942679e-06,9.110391307752547e-07
7004,2268,132500,3.380791607942679e-06,9.111766668759152e-07
3390,2268,132468,3.380791607942679e-06,9.109566091148584e-07
3689,2268,132468,3.380791607942679e-06,9.109566091148584e-07
3826,2268,132468,3.380791607942679e-06,9.109566091148584e-07
4001,2268,132472,3.380791607942679e-06,9.109841163349905e-07
4002,2268,132468,3.380791607942679e-06,9.109566091148584e-07
4045,2268,132468,3.380791607942679e-06,9.109566091148584e-07
4321,2268,132468,3.380791607942679e-06,9.109566091148584e-07
5060,2268,132488,3.380791607942679e-06,9.110941452155189e-07
6123,2267,132424,3.3793009590855615e-06,9.106540296934052e-07
2909,2267,132432,3.3793009590855615e-06,9.107090441336695e-07
3367,2267,132408,3.3793009590855615e-06,9.105440008128768e-07
3476,2267,132408,3.3793009590855615e-06,9.105440008128768e-07
4125,2267,132408,3.3793009590855615e-06,9.105440008128768e-07
4126,2267,132408,3.3793009590855615e-06,9.105440008128768e-07
4446,2267,132408,3.3793009590855615e-06,9.105440008128768e-07
5226,2267,132408,3.3793009590855615e-06,9.105440008128768e-07
5962,2266,132360,3.377810310228444e-06,9.102139141712916e-07
5987,2266,132360,3.377810310228444e-06,9.102139141712916e-07
6510,2266,132360,3.377810310228444e-06,9.102139141712916e-07
6580,2266,132360,3.377810310228444e-06,9.102139141712916e-07
7496,2266,132380,3.377810310228444e-06,9.103514502719522e-07
