protocol,packet_count,byte_count,packet_fraction,byte_fraction
ICMPv6,244554553,24062978240,0.3645449649323515,0.16547640987042173
UDP,231596102,28125664097,0.3452284647591873,0.19341470841944194
TCP,126078733,12394812501,0.18793911925328294,0.0852367089902876
ICMP,64605359,80624834540,0.09630390455702117,0.5544412679515424
ARP,2375821,114306960,0.003541514858365954,0.000786066677837876
STP,1636497,93581811,0.002439442382726354,0.0006435438688844669
OSPF,1532,153200,2.2836740491041377e-06,1.0535265310595487e-06
DHCPV6,116,18676,1.7291526742563967e-07,1.2843121079678938e-07
NTP,81,9396,1.2074255742652425e-07,6.461446009031019e-08
TLSV1.2,7,6428,1.0434541999823084e-08,4.420410275228968e-08
TLSV1,1,501,1.4906488571175834e-09,3.4452793215459135e-09
